id,sex,development,weight
EHI01272,Male,Adult,3680
EHI02760,Male,Sub-adult,1475
EHI01342,Unknown,Adult,NA
EHI02846,Female,Adult,2925
EHI01253,Unknown,Adult,3220
EHI02796,Female,Adult,4100
EHI01254,Male,Adult,4020
EHI02826,Male,Adult,3425
EHI02824,Male,Adult,3590
EHI02823,Male,Adult,3400
EHI02840,Female,Adult,3750
EHI01258,Female,Adult,2960
EHI02773,Male,Adult,3700
EHI02817,Female,Adult,3670
EHI02772,Male,Adult,3068
EHI02806,Male,Adult,3670
EHI02831,Male,Adult,2300
EHI01266,Unknown,Adult,NA
EHI01339,Female,Adult,2940
EHI02801,Male,Adult,3700
EHI02812,Female,Adult,3600
EHI02836,Female,Adult,1925
EHI02082,Male,Adult,1830
EHI02841,Unknown,Adult,2880
EHI02770,Male,Adult,3740
EHI02792,Male,Adult,2980
EHI01341,Unknown,Adult,NA
EHI02098,Male,Adult,1830
EHI02776,Female,Sub-adult,2555
EHI02769,Female,Adult,4660
EHI01389,Male,Adult,1130
EHI02767,Unknown,Unknown,3665
EHI02819,Female,Adult,3900
EHI02064,Male,Adult,1830
EHI02811,Female,Sub-adult,NA
EHI01268,Male,Adult,3850
EHI02804,Male,Adult,2850
EHI02780,Female,Adult,3650
EHI02789,Male,Adult,4050
EHI02835,Male,Adult,NA
EHI01343,Male,Adult,1830
EHI02785,Female,Sub-adult,1820
EHI01271,Unknown,Adult,NA
EHI02843,Female,Sub-adult,1260
EHI02779,Unknown,Unknown,NA
EHI02822,Unknown,Adult,NA
EHI02797,Female,Adult,3100
EHI02074,Male,Adult,1730
EHI02830,Female,Sub-adult,2100
EHI02784,Male,Adult,3045
EHI02766,Female,Adult,4300
EHI02771,Male,Juvenile,1350
EHI02768,Male,Sub-adult,2050
EHI01270,Male,Adult,1750
EHI02832,Female,Adult,1800
EHI02844,Female,Adult,2740
EHI02829,Male,Adult,3450
EHI01264,Male,Adult,1100
EHI02837,Male,Adult,3400
EHI02774,Female,Adult,NA
EHI02845,Female,Adult,2150
EHI02775,Unknown,Unknown,NA
EHI01259,Female,Adult,3920
EHI01387,Unknown,Adult,NA
EHI01248,Female,Adult,2690
EHI01257,Unknown,Adult,NA
EHI02839,Female,Adult,3055
EHI01273,Unknown,Adult,NA
EHI02838,Female,Adult,NA
EHI01265,Female,Adult,2260
EHI01345,Male,Adult,0
EHI01256,Unknown,Adult,NA
